Tree,DepthIndex,Feature,Threshold
73,2,proton_xvelocity,-329.87322998046875
73,3,mean_integrated_flux_s16_mod,39991740.0
73,4,alpha_thermal,36.74388885498047
73,5,mean_integrated_flux_s19_mod,24744984.0
74,0,mean_integrated_flux_s17_mod,283455424.0
74,1,Temp,46.60652160644531
74,2,proton_yvelocity,8.066789627075195
74,3,mean_integrated_flux_s9_mod,14183496.0
74,4,proton_xvelocity,-365.3839111328125
74,5,Bx_gse,-1.651216983795166
75,0,mean_integrated_flux_s9_mod,45504800.0
75,1,proton_xvelocity,-369.4625244140625
75,2,Temp,40.92485809326172
75,3,Bx_gsm,-4.157588005065918
75,4,proton_zvelocity,-43.95951843261719
75,5,mean_integrated_flux_s11_mod,71588288.0
76,0,mean_integrated_flux_s11_mod,9442217.0
76,1,proton_yvelocity,9.058096885681152
76,2,Bz_gsm,-6.671780109405518
76,3,alpha_density,0.05690383166074753
76,4,alpha_thermal,44.66504669189453
76,5,mean_integrated_flux_s9_mod,41230608.0
77,0,mean_integrated_flux_s16_mod,45503280.0
77,1,Temp,47.35822296142578
77,2,proton_yvelocity,11.47554874420166
77,3,mean_integrated_flux_s9_mod,14183496.0
77,4,Bx_gse,-0.35029566287994385
77,5,Speed_bulk_proton,369.4625244140625
78,0,mean_integrated_flux_s11_mod,5277371.0
78,1,proton_yvelocity,12.082575798034668
78,2,mean_integrated_flux_s9_mod,15114311.0
78,3,By_gsm,3.1903700828552246
78,4,alpha_density,0.2154514491558075
78,5,Speed_bulk_proton,379.06903076171875
79,0,Temp,70.42538452148438
79,1,Speed_bulk_proton,329.1533508300781
79,2,Speed_bulk_proton,367.51141357421875
79,3,mean_integrated_flux_s11_mod,61127320.0
79,4,Temp,43.521156311035156
79,5,By_gse,-4.238874435424805
80,0,mean_integrated_flux_s16_mod,91689680.0
80,1,alpha_thermal,36.74388885498047
80,2,proton_xvelocity,-360.3291015625
80,3,mean_integrated_flux_s11_mod,54964232.0
80,4,By_gse,-6.283583164215088
80,5,Temp,54.42428207397461
81,0,Temp,68.35745239257812
81,1,mean_integrated_flux_s11_mod,16888192.0
81,2,Bx_gsm,2.3305916786193848
81,3,alpha_bulk_speed,403.62744140625
81,4,alpha_density,0.06225334480404854
81,5,By_gse,3.326151132583618
82,0,proton_zvelocity,-41.793678283691406
82,1,mean_integrated_flux_s9_mod,51777440.0
82,2,proton_xvelocity,-373.8656311035156
82,3,Bz_gsm,-3.5794458389282227
82,4,proton_yvelocity,7.311857223510742
82,5,mean_integrated_flux_s19_mod,49083112.0
83,0,Temp,70.81845092773438
83,1,Speed_bulk_proton,330.5400390625
83,2,Speed_bulk_proton,363.9822692871094
83,3,mean_integrated_flux_s11_mod,51899672.0
83,4,alpha_density,0.09049109369516373
83,5,By_gse,2.5241799354553223
84,0,Temp,71.63835144042969
84,1,Temp,45.44057846069336
84,2,mean_integrated_flux_s9_mod,6084802.0
84,3,proton_yvelocity,7.8232421875
